kanji,hiragana,romaji,frequency
田島,たじま,Tajima,4
田畑,たばた,Tabata,4
田辺,たなべ,Tanabe,2
田方,たがた,Tagata,4
田北,たきた,Takita,4
兎沢,うさわ,Usawa,4
渡海,とかい,Tokai,4
渡部,わたべ,Watabe,3
渡辺,わたなべ,Watanabe,1
渡邊,わたなべ,Watanabe,1
渡邉,わたなべ,Watanabe,1
都倉,とくら,Tokura,4
土井,どい,Doi,3
土屋,つちや,Tsuchiya,3
土橋,どばし,Dobashi,4
土佐,とさ,Tosa,4
土田,つちだ,Tsuchida,3
土肥,どひ,Dohi,4
土方,ひじかた,Hijikata,3
冬,ふゆ,Fuyu,4
島,しま,Shima,3
島根,しまね,Shimane,5
島崎,しまざき,Shimazaki,2
島村,しまむら,Shimamura,3
島田,しまだ,Shimada,3
嶋,しま,Shima,3
嶋田,しまだ,Shimada,3
東,あずま,Azuma,3
東,ひがし,Higashi,3
東岡,ひがしおか,Higashioka,4
東京,とうきょう,Tokyo,5
東原,ひがしはら,Higashihara,3
東山,ひがしやま,Higashiyama,3
東城,ひがしじょう,Higashijo,4
東田,ひがしだ,Higashida,4
東野,ひがしの,Higashino,3
桃田,ももた,Momota,4
湯浅,ゆあさ,Yuasa,3
筒井,つつい,Tsutsui,3
藤井,ふじい,Fujii,1
藤岡,ふじおか,Fujioka,3
藤原,ふじわら,Fujiwara,3
藤崎,ふじさき,Fujisaki,3
藤沼,ふじぬま,Fujinuma,3
藤川,ふじかわ,Fujikawa,3
藤村,ふじむら,Fujimura,3
藤沢,ふじさわ,Fujisawa,3
藤谷,ふじたに,Fujitani,3
藤田,ふじた,Fujita,1
藤島,ふじしま,Fujishima,3
藤本,ふじもと,Fujimoto,3
藤木,ふじき,Fujiki,3
藤野,ふじの,Fujino,3
徳,とく,Toku,3
徳永,とくなが,Tokunaga,3
徳丸,とくまる,Tokumaru,4
徳山,とくやま,Tokuyama,4
徳田,とくだ,Tokuda,2
徳島,とくしま,Tokushima,5
栃木,とちぎ,Tochigi,5
奈良,なら,Nara,5
内海,うつみ,Utsumi,3
内橋,うちはし,Uchihashi,3
内山,うちやま,Uchiyama,3
内倉,うちくら,Uchikura,3
内村,うちむら,Uchimura,3
内田,うちだ,Uchida,1
内藤,ないとう,Naito,3
南,みなみ,Minami,3
南岡,みなみおか,Minamioka,3
南原,みなみはら,Minamihara,3
南山,みなみやま,Minamiyama,3
南城,なんじょう,Nanjo,3
南川,みなみかわ,Minamikawa,3
南村,みなみむら,Minamimura,3
南田,みなみだ,Minamida,3
南部,なんぶ,Nanbu,3
南方,みなみかた,Minamikata,3
南野,みなみの,Minamino,3
楠田,くすだ,Kusuda,4
楠木,くすのき,Kusunoki,4
二宮,にのみや,Ninomiya,3
日下,くさか,Kusaka,4
日向,ひゅうが,Hyuga,4
日高,ひだか,Hidaka,3
日野,ひの,Hino,3
入江,いりえ,Irie,4
入山,いりやま,Iriyama,4
能登,のと,Noto,5
播磨,はりま,Harima,5
波多野,はたの,Hatano,4
馬場,ばば,Baba,3
梅,うめ,Ume,5
梅原,うめはら,Umehara,4
梅沢,うめざわ,Umezawa,4
梅田,うめだ,Umeda,2
萩,はぎ,Hagi,5
萩原,はぎわら,Hagiwara,3
伯耆,ほうき,Hoki,5
柏木,かしわぎ,Kashiwagi,3
白,しろ,Shiro,5
白井,しらい,Shirai,3
白崎,しらさき,Shirasaki,4
白山,しらやま,Shirayama,4
白取,しらとり,Shiratori,4
白石,しらいし,Shiraishi,3
白川,しらかわ,Shirakawa,3
白鳥,しらとり,Shiratori,4
白田,しろた,Shirota,4
白浜,しらはま,Shirahama,4
白木,しらき,Shiraki,4
畑中,はたなか,Hatanaka,3
畠山,はたけやま,Hatakeyama,3
八代,やしろ,Yashiro,4
八島,やしま,Yashima,4
八木,やぎ,Yagi,3
鳩,はと,Hato,4
板垣,いたがき,Itagaki,4
板橋,いたばし,Itabashi,3
板倉,いたくら,Itakura,4
飯沼,いいぬま,Iinuma,4
飯塚,いいづか,Iizuka,3
飯田,いいだ,Iida,3
飯島,いいじま,Iijima,4
磐城,いわき,Iwaki,4
比嘉,ひが,Higa,3
樋口,ひぐち,Higuchi,3
備前,びぜん,Bizen,5
尾崎,おざき,Ozaki,3
尾張,おわり,Owari,4
尾野,おの,Ono,4
浜,はま,Hama,4
浜口,はまぐち,Hamaguchi,3
浜崎,はまざき,Hamasaki,3
浜田,はまだ,Hamada,3
浜野,はまの,Hamano,3
富,とみ,Tomi,4
富永,とみなが,Tominaga,4
富原,とみはら,Tomihara,4
富沢,とみさわ,Tomisawa,4
富田,とみた,Tomita,3
富本,とみもと,Tomimoto,4
冨田,とみた,Tomita,3
布施,ふせ,Fuse,4
武,たけし,Takeshi,4
武井,たけい,Takei,3
武蔵,むさし,Musashi,4
武田,たけだ,Takeda,3
武藤,むとう,Muto,3
武内,たけうち,Takeuchi,4
風,かぜ,Kaze,5
伏見,ふしみ,Fushimi,4
服部,はっとり,Hattori,3
福,ふく,Fuku,4
福井,ふくい,Fukui,3
福永,ふくなが,Fukunaga,3
福岡,ふくおか,Fukuoka,3
福原,ふくはら,Fukuhara,3
福住,ふくずみ,Fukuzumi,4
福西,ふくにし,Fukunishi,4
福川,ふくかわ,Fukukawa,4
福地,ふくち,Fukuchi,4
福田,ふくだ,Fukuda,1
福島,ふくしま,Fukushima,3
福本,ふくもと,Fukumoto,3
兵庫,ひょうご,Hyogo,5
兵頭,ひょうどう,Hyodo,4
平井,ひらい,Hirai,3
平岡,ひらおか,Hiraoka,3
平賀,ひらが,Hiraga,3
平山,ひらやま,Hirayama,3
平松,ひらまつ,Hiramatsu,3
平沼,ひらぬま,Hiranuma,3
平川,ひらかわ,Hirakawa,3
平田,ひらた,Hirata,3
平木,ひらき,Hiraki,3
平野,ひらの,Hirano,3
米山,よねやま,Yoneyama,4
米川,よねかわ,Yonekawa,4
米倉,よねくら,Yonekura,4
米田,よねだ,Yoneda,3
別府,べっぷ,Beppu,4
片岡,かたおか,Kataoka,3
片桐,かたぎり,Katagiri,3
片山,かたやま,Katayama,3
片野,かたの,Katano,4
保,やす,Yasu,5
穂高,ほたか,Hotaka,4
穂積,ほづみ,Hozumi,4
宝,たから,Takara,5
峰,みね,Mine,5
峯,みね,Mine,5
芳賀,はが,Haga,3
豊原,とよはら,Toyohara,4
豊田,とよた,Toyota,4
坊,ぼう,Bo,5
望月,もちづき,Mochizuki,3
北,きた,Kita,5
北岡,きたおか,Kitaoka,3
北海道,ほっかいどう,Hokkaido,5
北原,きたはら,Kitahara,3
北山,きたやま,Kitayama,3
北城,きたじょう,Kitajo,4
北川,きたがわ,Kitagawa,3
北村,きたむら,Kitamura,3
北田,きただ,Kitada,3
北島,きたじま,Kitajima,3
北野,きたの,Kitano,3
牧田,まきた,Makita,4
牧本,まきもと,Makimoto,4
牧野,まきの,Makino,3
堀,ほり,Hori,3
堀岡,ほりおか,Horioka,4
堀口,ほりぐち,Horiguchi,3
堀江,ほりえ,Horie,3
堀込,ほりごめ,Horigome,4
堀川,ほりかわ,Horikawa,3
堀田,ほった,Hotta,3
堀内,ほりうち,Horiuchi,3
堀北,ほりきた,Horigita,4
本間,ほんま,Honma,3
本橋,もとはし,Motohashi,4
本山,もとやま,Motoyama,4
本庄,ほんじょう,Honjo,3
本城,ほんじょう,Honjo,4
本村,もとむら,Motomura,4
本多,ほんだ,Honda,3
本田,ほんだ,Honda,3
本木,もとき,Motoki,4
末吉,すえよし,Sueyoshi,4
末広,すえひろ,Suehiro,4
万田,まんだ,Manda,4
万里,まり,Mari,4
蓑田,みのだ,Minoda,4
名倉,なぐら,Nagura,4
茂木,もぎ,Mogi,2
木,き,Ki,5
木下,きのした,Kinoshita,2
木元,きもと,Kimoto,4
木原,きはら,Kihara,4
木戸,きど,Kido,4
木山,きやま,Kiyama,4
木村,きむら,Kimura,1
木田,きだ,Kida,4
木島,きじま,Kishima,4
木南,きなみ,Kinami,4
木本,きもと,Kimoto,4
野,の,No,5
野間,のま,Noma,4
野口,のぐち,Noguchi,2
野崎,のざき,Nozaki,3
野上,のがみ,Nogami,4
野村,のむら,Nomura,2
野沢,のざわ,Nozawa,4
野中,のなか,Nonaka,4
野田,のだ,Noda,2
矢田,やだ,Yada,4
矢島,やじま,Yajima,4
矢野,やの,Yano,2
柳,やなぎ,Yanagi,5
柳沢,やなぎさわ,Yanagisawa,3
柳田,やなぎだ,Yanagida,3
友田,ともだ,Tomoda,4
有村,ありむら,Arimura,4
有田,ありた,Arita,2
由木,ゆき,Yuki,4
遊佐,ゆさ,Yusa,4
落合,おちあい,Ochiai,2
里見,さとみ,Satomi,4
陸奥,むつ,Mutsu,5
立花,たちばな,Tachibana,2
立松,たてまつ,Tatematsu,4
立石,たていし,Tateishi,4
立川,たちかわ,Tachikawa,3
立田,たつた,Tatsuta,4
龍田,たつた,Tatsuta,4
緑川,みどりかわ,Midorikawa,4
林,はやし,Hayashi,1
林口,はやしぐち,Hayashiguchi,4
林崎,はやしざき,Hayashizaki,4
林田,はやしだ,Hayashida,3
嶺,みね,Mine,5
鈴田,すずた,Suzuta,4
鈴木,すずき,Suzuki,1
鈴来,すずき,Suzuki,4
六角,ろっかく,Rokkaku,4
和歌山,わかやま,Wakayama,5
和気,わけ,Wake,4
和泉,いずみ,Izumi,3
和田,わだ,Wada,3
藁科,わらしな,Warashina,4
廣田,ひろた,Hirota,3
濱田,はまだ,Hamada,3
齋藤,さいとう,Saito,1
藪,やぶ,Yabu,5
